Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,-0.18,8.5,180.0,bottom
C2,100n,C_0402_1005Metric,0.51,-8.69,0.0,bottom
C3,100n,C_0402_1005Metric,-30.95,-3.96,0.0,bottom
C4,100n,C_0402_1005Metric,-30.674546,10.129872,0.0,bottom
C5,100n,C_0402_1005Metric,-18.746365,24.610343,60.0,bottom
C6,100n,C_0402_1005Metric,-6.564547,31.629872,60.0,bottom
C7,100n,C_0402_1005Metric,11.94,28.54,120.0,bottom
C8,100n,C_0402_1005Metric,24.109999,21.5,120.0,bottom
C9,100n,C_0402_1005Metric,30.686365,3.929657,180.0,bottom
C10,100n,C_0402_1005Metric,30.674546,-10.129872,180.0,bottom
C11,100n,C_0402_1005Metric,18.746365,-24.610343,240.0,bottom
C12,100n,C_0402_1005Metric,6.564547,-31.629872,240.0,bottom
C13,100n,C_0402_1005Metric,-11.94,-28.54,300.0,bottom
C14,100n,C_0402_1005Metric,-24.109999,-21.5,300.0,bottom
D1,SK6805,SK6805SIDE-G-001,-0.2,9.8,0.0,bottom
D2,SK6805,SK6805SIDE-G-001,0.5,-10.0,180.0,bottom
D3,SK6805,SK6805SIDE-G-001,-31.120307,-6.951157,90.0,bottom
D4,SK6805,SK6805SIDE-G-001,-31.170307,7.083732,90.0,bottom
D5,SK6805,SK6805SIDE-G-001,-21.580032,23.475398,150.0,bottom
D6,SK6805,SK6805SIDE-G-001,-9.450462,30.536144,150.0,bottom
D7,SK6805,SK6805SIDE-G-001,9.540275,30.426555,210.0,bottom
D8,SK6805,SK6805SIDE-G-001,21.719845,23.452412,210.0,bottom
D9,SK6805,SK6805SIDE-G-001,31.120307,6.951157,270.0,bottom
D10,SK6805,SK6805SIDE-G-001,31.170307,-7.083732,270.0,bottom
D11,SK6805,SK6805SIDE-G-001,21.580032,-23.475398,330.0,bottom
D12,SK6805,SK6805SIDE-G-001,9.450462,-30.536144,330.0,bottom
D13,SK6805,SK6805SIDE-G-001,-9.540275,-30.426555,30.0,bottom
D14,SK6805,SK6805SIDE-G-001,-21.719845,-23.452412,30.0,bottom
J1,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,0.010247,34.057749,120.0,bottom
J2,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,-29.489752,17.037749,60.0,bottom
J3,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,-29.499999,-17.02,0.0,bottom
J4,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,-0.010247,-34.057749,300.0,bottom
J5,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,29.489752,-17.037749,240.0,bottom
J6,Conn_01x01,Mounting_Wuerth_WA-SMSI-M2_H7mm_9774070243,29.499999,17.02,180.0,bottom
